feature,importance
separation,177483.0745241642
receiver_to_catch_point,128322.87334418297
projected_separation_at_catch,56128.628064870834
ball_to_receiver,56091.98293733597
receiver_y,31112.078558444977
closing_speed,29429.766129612923
defender_to_catch_point,27782.21656370163
receiver_speed,26911.781769275665
receiver_x,26745.223438739777
receiver_defender_speed_diff,26737.96844625473
ball_z,26256.180453538895
ball_y,19572.132201194763
defender_can_arrive,15893.59156870842
second_defender_dist,15603.954505443573
receiver_will_arrive_first,14808.627344369888
ball_x,14502.279543161392
defender_speed,14424.50431060791
defender_alignment,13680.734202384949
receiver_alignment,12299.833752393723
time_remaining,11117.492114782333
ball_to_catch_point,9401.301112651825
frames_remaining,1503.1982159614563
has_defender_tracking,574.534378528595
